"time";"cases";"deaths";"hospitalized";"icu";"recovered"
2020-02-29;0;0;;;
2020-03-01;0;0;;;
2020-03-02;0;0;;;
2020-03-03;0;0;;;
2020-03-04;0;0;;;
2020-03-05;0;0;;;
2020-03-06;0;0;;;
2020-03-07;0;0;;;
2020-03-08;0;0;;;
2020-03-09;0;0;;;
2020-03-10;0;0;;;
2020-03-11;0;0;;;
2020-03-12;0;0;;;
2020-03-13;0;0;;;
2020-03-14;0;0;;;
2020-03-15;0;0;;;
2020-03-16;0;0;;;
2020-03-17;0;0;;;
2020-03-18;0;0;;;
2020-03-19;0;0;;;
2020-03-20;0;0;;;
2020-03-21;0;0;;;
2020-03-22;1;0;;;
2020-03-23;1;0;;;
2020-03-24;1;0;;;
2020-03-25;1;0;;;
2020-03-26;1;0;;;
2020-03-27;2;0;;;
2020-03-28;2;0;;;
2020-03-29;2;0;;;
2020-03-30;3;0;;;
2020-03-31;3;0;;;
2020-04-01;3;0;;;
2020-04-02;3;0;;;
2020-04-03;3;0;;;
2020-04-04;3;0;;;
2020-04-05;3;0;;;
2020-04-06;3;0;;;
2020-04-07;3;0;;;
2020-04-08;3;0;;;
2020-04-09;4;1;0;0;
2020-04-10;5;1;0;0;
2020-04-11;5;1;0;0;
2020-04-12;5;1;0;0;
2020-04-13;6;1;0;0;
2020-04-14;6;1;0;1;
2020-04-15;6;1;1;2;
2020-04-16;6;1;1;1;
2020-04-17;8;2;1;1;
2020-04-18;8;2;1;1;
2020-04-19;8;2;1;2;
2020-04-20;8;2;0;2;
2020-04-21;8;2;0;2;
2020-04-22;9;2;0;2;
2020-04-23;10;2;1;2;
2020-04-24;12;2;1;2;
2020-04-25;12;2;1;3;
2020-04-26;16;3;2;2;
2020-04-27;20;3;2;4;
2020-04-28;21;3;2;5;
2020-04-29;21;3;3;5;
2020-04-30;22;3;4;5;
2020-05-01;22;3;6;5;
2020-05-02;22;3;6;5;
2020-05-03;22;3;6;5;
2020-05-04;22;3;10;4;
2020-05-05;25;3;4;3;
2020-05-06;29;4;10;3;
2020-05-07;30;4;4;4;
2020-05-08;32;4;2;5;
2020-05-09;33;4;6;4;
2020-05-10;33;4;4;6;
2020-05-11;34;4;4;6;
2020-05-12;37;4;4;6;
2020-05-13;37;4;4;6;
2020-05-14;37;4;3;5;
