"time" "cases" "deaths" "hospitalized" "icu" "recovered"
2020-02-29 0 0   
2020-03-01 0 0   
2020-03-02 0 0   
2020-03-03 0 0   
2020-03-04 0 0   
2020-03-05 0 0   
2020-03-06 0 0   
2020-03-07 0 0   
2020-03-08 0 0   
2020-03-09 0 0   
2020-03-10 0 0   
2020-03-11 0 0   
2020-03-12 0 0   
2020-03-13 0 0   
2020-03-14 0 0   
2020-03-15 0 0   
2020-03-16 0 0   
2020-03-17 0 0   
2020-03-18 0 0   
2020-03-19 0 0   
2020-03-20 0 0   
2020-03-21 0 0   
2020-03-22 0 0   
2020-03-23 0 0   
2020-03-24 0 0   
2020-03-25 0 0   
2020-03-26 0 0   
2020-03-27 0 0   
2020-03-28 0 0   
2020-03-29 0 0   
2020-03-30 0 0   
2020-03-31 0 0   
2020-04-01 0 0   
2020-04-02 0 0   
2020-04-03 0 0   
2020-04-04 0 0   
2020-04-05 0 0   
2020-04-06 0 0   
2020-04-07 0 0 0 0 
2020-04-08 0 0 0 0 
2020-04-09 0 0 0 0 
2020-04-10 0 0 0 0 
2020-04-11 0 0 0 0 
2020-04-12 0 0 0 0 
2020-04-13 0 0 0 0 
2020-04-14 0 0 0 0 
2020-04-15 0 0 6 0 
2020-04-16 0 0 0 0 
2020-04-17 0 0 0 0 
2020-04-18 0 0 0 0 
2020-04-19 0 0 0 0 
2020-04-20 0 0 0 0 
2020-04-21 0 0 0 0 
2020-04-22 0 0 0 0 
2020-04-23 0 0 0 0 
2020-04-24 2 0 0 0 
2020-04-25 2 0 0 0 
2020-04-26 2 0 1 0 
2020-04-27 2 0 1 0 
2020-04-28 4 0 1 0 
2020-04-29 5 1 1 0 
2020-04-30 5 1 1 0 
2020-05-01 6 1 0 0 
2020-05-02 8 2 0 0 
2020-05-03 9 2 0 0 
2020-05-04 10 2 0 0 
2020-05-05 11 2 0 0 
2020-05-06 14 2 1 0 
2020-05-07 14 2 1 0 
2020-05-08 14 2 1 0 
2020-05-09 15 2 1 0 
2020-05-10 15 2 1 0 
2020-05-11 16 2 1 1 
2020-05-12 17 2 1 1 
2020-05-13 17 2 2 1 
2020-05-14 17 2 3 1 
