"time";"cases";"deaths";"hospitalized";"icu";"recovered"
2020-02-29;0;0;;;
2020-03-01;0;0;;;
2020-03-02;0;0;;;
2020-03-03;0;0;;;
2020-03-04;0;0;;;
2020-03-05;0;0;;;
2020-03-06;0;0;;;
2020-03-07;0;0;;;
2020-03-08;0;0;;;
2020-03-09;2;0;;;
2020-03-10;2;0;;;
2020-03-11;4;0;;;
2020-03-12;8;0;;;
2020-03-13;12;0;;;
2020-03-14;21;0;;;
2020-03-15;27;0;;;
2020-03-16;43;0;;;
2020-03-17;58;0;;;
2020-03-18;73;1;;;
2020-03-19;79;3;;;
2020-03-20;91;3;;;
2020-03-21;97;4;;;
2020-03-22;104;4;;;
2020-03-23;117;6;;;
2020-03-24;125;8;;;
2020-03-25;139;8;;;
2020-03-26;148;8;;;
2020-03-27;167;8;;;
2020-03-28;174;8;;;
2020-03-29;184;11;;;
2020-03-30;212;14;;;
2020-03-31;249;14;;;
2020-04-01;263;15;;;
2020-04-02;289;15;;;
2020-04-03;306;15;;;
2020-04-04;310;16;;;
2020-04-05;318;16;;;
2020-04-06;339;16;;;
2020-04-07;346;16;;;
2020-04-08;362;16;;;
2020-04-09;365;16;0;0;
2020-04-10;369;16;0;0;
2020-04-11;373;16;0;0;
2020-04-12;378;16;0;0;
2020-04-13;402;16;1;0;
2020-04-14;418;17;19;36;
2020-04-15;431;17;14;41;
2020-04-16;443;18;16;41;
2020-04-17;457;19;15;40;
2020-04-18;461;19;7;41;
2020-04-19;469;20;5;38;
2020-04-20;472;20;10;23;
2020-04-21;475;20;26;34;
2020-04-22;489;21;15;30;
2020-04-23;496;22;17;32;
2020-04-24;500;23;13;34;
2020-04-25;508;23;16;33;
2020-04-26;512;24;13;35;
2020-04-27;523;24;14;32;
2020-04-28;534;24;18;34;
2020-04-29;541;25;19;35;
2020-04-30;552;26;18;30;
2020-05-01;560;26;15;29;
2020-05-02;565;26;14;32;
2020-05-03;568;26;11;34;
2020-05-04;576;26;19;34;
2020-05-05;591;26;37;26;
2020-05-06;599;26;35;29;
2020-05-07;625;27;37;37;
2020-05-08;645;27;29;34;
2020-05-09;657;28;29;34;
2020-05-10;660;28;32;42;
2020-05-11;676;28;25;35;
2020-05-12;694;28;27;35;
2020-05-13;700;28;29;34;
2020-05-14;700;28;41;32;
