"time" "cases" "deaths" "hospitalized" "icu" "recovered"
2020-02-29 0 0   
2020-03-01 0 0   
2020-03-02 0 0   
2020-03-03 0 0   
2020-03-04 0 0   
2020-03-05 0 0   
2020-03-06 0 0   
2020-03-07 0 0   
2020-03-08 0 0   
2020-03-09 0 0   
2020-03-10 0 0   
2020-03-11 0 0   
2020-03-12 0 0   
2020-03-13 0 0   
2020-03-14 0 0   
2020-03-15 0 0   
2020-03-16 0 0   
2020-03-17 0 0   
2020-03-18 1 0   
2020-03-19 6 0   
2020-03-20 10 0   
2020-03-21 10 0   
2020-03-22 10 0   
2020-03-23 10 0   
2020-03-24 10 0   
2020-03-25 10 0   
2020-03-26 11 0   
2020-03-27 11 0   
2020-03-28 12 0   
2020-03-29 12 0   
2020-03-30 14 0   
2020-03-31 14 0   
2020-04-01 14 0   
2020-04-02 15 0   
2020-04-03 19 0   
2020-04-04 19 0   
2020-04-05 19 0   
2020-04-06 22 0   
2020-04-07 25 0 0 0 
2020-04-08 29 0 0 1 
2020-04-09 32 0 0 1 
2020-04-10 34 0 0 1 
2020-04-11 34 0 5 4 
2020-04-12 35 0 5 4 
2020-04-13 36 0 3 2 
2020-04-14 38 0 1 3 
2020-04-15 43 0 1 3 
2020-04-16 45 0 6 2 
2020-04-17 50 0 5 3 
2020-04-18 56 1 5 4 
2020-04-19 58 1 3 5 
2020-04-20 67 1 8 6 
2020-04-21 67 1 8 7 
2020-04-22 78 2 11 6 
2020-04-23 97 3 17 9 
2020-04-24 110 3 18 9 
2020-04-25 119 5 17 11 
2020-04-26 123 5 19 9 
2020-04-27 148 5 26 10 
2020-04-28 170 8 18 9 
2020-04-29 195 8 22 11 
2020-04-30 244 11 28 12 
2020-05-01 254 13 38 12 
2020-05-02 262 13 59 13 
2020-05-03 271 13 35 11 
2020-05-04 292 14 32 11 
2020-05-05 335 14 31 11 
2020-05-06 345 14 36 11 
2020-05-07 394 15 37 10 
2020-05-08 406 15 29 10 
2020-05-09 409 15 32 9 
2020-05-10 415 15 31 11 
2020-05-11 427 15 25 11 
2020-05-12 447 15 23 12 
2020-05-13 447 15 24 12 
2020-05-14 447 15 28 12 
