"time";"cases";"deaths";"hospitalized";"icu";"recovered"
2020-02-29;0;0;;;
2020-03-01;0;0;;;
2020-03-02;0;0;;;
2020-03-03;0;0;;;
2020-03-04;0;0;;;
2020-03-05;0;0;;;
2020-03-06;0;0;;;
2020-03-07;0;0;;;
2020-03-08;0;0;;;
2020-03-09;0;0;;;
2020-03-10;0;0;;;
2020-03-11;0;0;;;
2020-03-12;0;0;;;
2020-03-13;0;0;;;
2020-03-14;0;0;;;
2020-03-15;0;0;;;
2020-03-16;0;0;;;
2020-03-17;3;0;;;
2020-03-18;5;0;;;
2020-03-19;6;0;;;
2020-03-20;7;0;;;
2020-03-21;7;0;;;
2020-03-22;7;0;;;
2020-03-23;7;0;;;
2020-03-24;7;0;;;
2020-03-25;7;0;;;
2020-03-26;7;0;;;
2020-03-27;8;0;;;
2020-03-28;9;0;;;
2020-03-29;11;0;;;
2020-03-30;12;0;;;
2020-03-31;19;0;;;
2020-04-01;20;0;;;
2020-04-02;23;0;;;
2020-04-03;26;0;;;
2020-04-04;28;1;;;
2020-04-05;28;1;;;
2020-04-06;32;1;;;
2020-04-07;32;1;0;1;
2020-04-08;33;1;1;1;
2020-04-09;34;1;1;1;
2020-04-10;35;1;1011;1;
2020-04-11;37;1;1;2;
2020-04-12;37;1;2;1;
2020-04-13;40;1;1;1;
2020-04-14;44;1;1;1;
2020-04-15;47;1;1;1;
2020-04-16;47;1;1;1;
2020-04-17;48;1;1;2;
2020-04-18;49;1;1;2;
2020-04-19;51;1;1;2;
2020-04-20;55;2;0;3;
2020-04-21;57;2;0;4;
2020-04-22;57;2;0;4;
2020-04-23;60;2;1;3;
2020-04-24;63;2;1;5;
2020-04-25;65;2;3;5;
2020-04-26;68;2;3;5;
2020-04-27;72;2;1;5;
2020-04-28;80;2;0;6;
2020-04-29;89;2;0;6;
2020-04-30;90;2;2;7;
2020-05-01;90;2;2;4;
2020-05-02;91;2;3;4;
2020-05-03;93;2;4;2;
2020-05-04;101;2;4;3;
2020-05-05;106;2;4;3;
2020-05-06;112;2;6;3;
2020-05-07;116;2;6;4;
2020-05-08;120;2;3;5;
2020-05-09;122;3;4;6;
2020-05-10;123;3;7;4;
2020-05-11;126;3;6;6;
2020-05-12;127;3;6;7;
2020-05-13;127;3;9;6;
2020-05-14;127;3;7;6;
